"","Object.Number","Is.Highlight","Is.Public.Domain","Object.ID","Department","Object.Name","Title","Culture","Period","Dynasty","Reign","Portfolio","Artist.Role","Artist.Prefix","Artist.Display.Name","Artist.Display.Bio","Artist.Suffix","Artist.Alpha.Sort","Artist.Nationality","Artist.Begin.Date","Artist.End.Date","Object.Date","Object.Begin.Date","Object.End.Date","Medium","Dimensions","Credit.Line","Geography.Type","City","State","County","Country","Region","Subregion","Locale","Locus","Excavation","River","Classification","Rights.and.Reproduction","Link.Resource","Metadata.Date","Repository"
"307160","21.35.3","False","True",435256,"Drawings and Prints","Print","Christ from Christ, the Apostles and St. Paul","","","","","Christ, the Apostles and St. Paul","Artist","","Lucas Cranach the Elder","German, Kronach 1472–1553 Weimar","","Cranach, Lucas, the Elder","German","1472      ","1553      ","",1472,1553,"Woodblock","Sheet: 14 3/16 × 8 9/16 in. (36 × 21.8 cm)","Rogers Fund, 1921","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/435256","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"365886","30.4.206","False","False",557842,"Egyptian Art","Facsimile, Haremhab (TT 207), false door, throne","False Door on the Throne of a Deity, Tomb of Haremhab","","New Kingdom","Dynasty 18","reign of Haremhab","","Artist","","Norman de Garis Davies","1865–1941","","Davies, Norman de Garis","","1865      ","1941      ","ca. 1323–1295 B.C.",-1323,-1295,"Tempera on paper","H. 26 cm (10 1/4 in); w. 37.5 cm (14 3/4 in)
scale 1:1","Rogers Fund, 1930","From","","","","Egypt","Upper Egypt, Thebes","","","","","","","","http://www.metmuseum.org/art/collection/search/557842","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"396426","65.629.3(3.12)","False","False",647769,"Drawings and Prints","Print","The Bell Rock Lighthouse (Good Words for 1864, p. 113)","","","","","","Artist|Engraver","After","Joseph Mallord William Turner|William James Linton","British, London 1775–1851 London|British, London 1812–1897 New Haven, Connecticut","","Turner, Joseph Mallord William|Linton, William James","British|British","1775      |1812      ","1851      |1897      ","1864",1864,1864,"Wood engraving","Sheet: 6 3/16 × 9 3/16 in. (15.7 × 23.4 cm)","Gift of Sinclair Hamilton, 1965","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/647769","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"277128","22.78.1","False","True",404534,"Drawings and Prints","Print","Maximilian Presented by his Patron Saints to the Almighty","","","","","","Artist","","Hans Springinklee","German, active 1512–22","","Springinklee, Hans","German","1512      ","1522      ","1519",1519,1519,"Woodcut","sheet: 21 3/8 x 15 1/4 in. (54.3 x 38.7 cm)","Purchase, Jacob H. Schiff Bequest, 1922","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/404534","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"146361","74.51.5072","False","False",243953,"Greek and Roman Art","Bowl","Faience bowl","Cypriot","Late Bronze Age","","","","","","","","","","","","","ca. 1200 B.C.",-1200,-1200,"Faience","H. 1 5/8 in. (4.1 cm)
diameter  5 3/8 in. (13.6 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","","","","","","","Miscellaneous-Faience","","http://www.metmuseum.org/art/collection/search/243953","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"392883","26.99.1(40)","False","True",642901,"Drawings and Prints","Print","Moses' Hands Held Up (Dalziels' Bible Gallery)","","","","","","Printer|Publisher|Engraver|Artist","After","Camden Press|Scribner and Welford|Dalziel Brothers|Frederick Richard Pickersgill","British, London|New York, NY|British, active 1839–1893|British, London 1820–1900 Yarmouth, Isle of Wight","","Camden Press|Scribner and Welford|Dalziel Brothers|Pickersgill, Frederick Richard","British|American|British|British","1857      |1800      |1839      |1820      ","1893      |1899      |1893      |1900      ","1865–81",1865,1881,"Wood engraving on India paper, mounted on thin card","Image: 8 3/8 × 6 7/8 in. (21.3 × 17.5 cm)
India sheet: 10 9/16 × 9 1/16 in. (26.9 × 23 cm)
Mount: 16 7/16 in. × 12 15/16 in. (41.8 × 32.8 cm)","Anonymous Gift, 1926","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/642901","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"299971","63.350.205.110.15","False","False",427927,"Drawings and Prints","Print","Woman Wearing a White Dress with Rose Details and a Yellow Shawl, from the French Novelties series (N110) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.","","","","","","Publisher|Publisher","Issued by|Issued by","W. Duke, Sons & Co.|American Tobacco Company","New York and Durham, N.C.",", a branch of the American Tobacco Company","Duke, W. Sons & Co.|American Tobacco Company","American","1870      ","1920      ","1892",1892,1892,"Commercial color lithograph","Sheet: 4 3/16 × 2 1/2 in. (10.7 × 6.4 cm)","The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick","","","","","","","","","","","","Prints|Ephemera","","http://www.metmuseum.org/art/collection/search/427927","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"15604","45.50 verso","False","True",16897,"American Paintings and Sculpture","Drawing","Anotomaical Description of the Hand and the Wrist","","","","","","Artist","After","Benjamin West","American, Swarthmore, Pennsylvania 1738–1820 London","","West, Benjamin","American","1738      ","1820      ","",1738,1850,"Black ink, watercolor washes, and black chalk on off-white laid paper","7 7/16 x 9 1/2 in. (18.9 x 24.1 cm)","Rogers Fund, 1945","Possibly made in|Possibly made in","","","","United States|England","","","","","","","Drawings","","http://www.metmuseum.org/art/collection/search/16897","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"230924","51.627.17","False","False",356736,"Drawings and Prints","Book","Scenografia dei piu celebri monumenti sacri e profani antichi e moderni di Roma e adiacenze disegnati dal vero e incisi dai piu distinti artisti","","","","","","Publisher|Designer|Designer|Designer|Designer|Designer|Designer|Designer|Dedicatee|Designer|Designer|Designer|Engraver","Published by|Designed and engraved by|Designed and engraved by|Designed and engraved by|Designed by|Designed and engraved by|Designed by|Designed and engraved by|Dedicated to|Designed by|Designed by|Designed by|Engraved by","La Calcografia Camerale|Giovanni Battista Balzar|Giovanni della Longa|Filippo Trojani|Giacomo Fontana|Antonio Acquaroni|Domenico Amici|Paolo Cacchiatelli|Angelo Corsi|Gaetano Cottafavi|Augusto Marchetti|Achille Parboni|Luigi Nisi-Cavalieri","Italian, 1823–1888|Italian, 1807–1880|Italian, 1801–1874|Italian, Rome, 1808–1858|Italian, died 1878|Italian, 19th century|Italian, active mid-19th century|Italian","","Calcografia, Camerale La|Balzar, Giovanni Battista|Longa, Giovanni della|Trojani, Filippo|Fontana, Giacomo|Acquaroni, Antonio|Amici, Domenico|Cacchiatelli, Paolo|Corsi, Angelo|Cottafavi, Gaetano|Marchetti, Augusto|Parboni, Achille|Nisi-Cavalieri, Luigi","Italian|Italian|Italian|Italian|Italian|Italian|Italian|Italian|Italian|Italian|Italian|Italian|Italian","1823      |1807      |1801      |1808      |1800      |1850      ","1888      |1880      |1874      |1858      |1878      |1900      |1870      ","1864",1864,1864,"Printed book with engraved illustrations","","Gift of Dietrich von Bothmer, 1951","","Rome","","","","","","","","","","Books","","http://www.metmuseum.org/art/collection/search/356736","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"217428","67.762.192","False","False",343026,"Drawings and Prints","Drawing","Stage set design for ""The Mask,"" George White's Scandals, New York, 1926","","","","","","Artist","","Erté (Romain de Tirtoff)","French (born Russia), St. Petersburg 1892–1990 Paris","","Erté (Romain de Tirtoff)","French, born Russia","1892      ","1990      ","1926",1926,1926,"Gouache and metallic paint","9 3/4 x 15 3/4 in. (24.8 x 40 cm)","Purchase, The Martin Foundation Inc. Gift, 1967","","","","","","","","","","","","Drawings","© 2017 Artists Rights Society (ARS), New York","http://www.metmuseum.org/art/collection/search/343026","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"78233","C.I.X.57.2","False","True",100552,"Costume Institute","Barbe","Barbe","American","","","","","","","","","","","","","","mid-19th century",1825,1875,"[no medium available]","","Anonymous Gift, 1957","","","","","","","","","","","","","","http://www.metmuseum.org/art/collection/search/100552","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"316245","38.40.18","False","True",449234,"Islamic Art","Button or Bead","Button or Bead","","","","","","","","","","","","","","","9th–10th century",800,999,"Bone; tinted, incised, and inlaid with paint","H. 1/2 in. (1.2 cm)  
Diam. 5/8 in. (1.7 cm)","Rogers Fund, 1938","Excavated in","Nishapur","","","Iran","","","","","","","Ivories and Bone","","http://www.metmuseum.org/art/collection/search/449234","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
