"","id","accession_number","artist","artistRole","artistId","title","dateText","medium","creditLine","year","acquisitionYear","dimensions","width","height","depth","units","inscription","thumbnailCopyright","thumbnailUrl","url"
"1989",97416,"AR00251","Warhol, Andy","artist",2121,"Blue Shoe","1955","Ink and dye on paper","ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008","1955",2009,"image: 327 x 970 mm","327","970",NA,"mm","","","","http://www.tate.org.uk/art/artworks/warhol-blue-shoe-ar00251"
"23347",47957,"D20606","Turner, Joseph Mallord William","artist",558,"Windsor","c.1827","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1827",1856,"support: 112 x 192 mm","112","192",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D20/D20606_8.jpg","http://www.tate.org.uk/art/artworks/turner-windsor-d20606"
"34334",58970,"D31750","Turner, Joseph Mallord William","artist",558,"Mountains, Castles, Etc.","1833","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1833",1856,"support: 203 x 109 mm","203","109",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D31/D31750_8.jpg","http://www.tate.org.uk/art/artworks/turner-mountains-castles-etc-d31750"
"56463",8596,"T00885","Lely, Sir Peter","artist",343,"Man Playing a Pipe","c.1648","Oil paint on canvas","Presented by the Art Fund (Eugene Cremetti Fund) 1966","1648",1966,"support: 1428 x 1055 mm frame: 1678 x 1295 x 120 mm","1428","1055",NA,"mm","","","http://www.tate.org.uk/art/images/work/T/T00/T00885_8.jpg","http://www.tate.org.uk/art/artworks/lely-man-playing-a-pipe-t00885"
"59760",6373,"T04326","Highmore","artist",2259,"[title not known]","date not known","Drawing and watercolour on paper","Presented by Mrs Joan Highmore Blackhall and Dr R.B. McConnell 1986","",1986,"","","",NA,"","","","","http://www.tate.org.uk/art/artworks/highmore-title-not-known-t04326"
"17890",42450,"D15094","Turner, Joseph Mallord William","artist",558,"View of the Valley to the North of Tivoli","1819","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1819",1856,"support: 112 x 186 mm","112","186",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D15/D15094_8.jpg","http://www.tate.org.uk/art/artworks/turner-view-of-the-valley-to-the-north-of-tivoli-d15094"
"61663",19965,"T06237","Turner, Joseph Mallord William","after",558,"Rouen Cathedral, engraved by T. Higham","published 1834","Engraving on paper","Transferred from the British Museum 1988","1834",1988,"","","",NA,"","","","http://www.tate.org.uk/art/images/work/T/T06/T06237_8.jpg","http://www.tate.org.uk/art/artworks/turner-rouen-cathedral-engraved-by-t-higham-t06237"
"34821",59460,"D32243","Turner, Joseph Mallord William","artist",558,"A Bridge, with Figures","c.1839","Gouache, pen and ink and watercolour on paper","Accepted by the nation as part of the Turner Bequest 1856","1839",1856,"support: 224 x 286 mm","224","286",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D32/D32243_8.jpg","http://www.tate.org.uk/art/artworks/turner-a-bridge-with-figures-d32243"
"62697",22133,"T07283","Rothenstein, Sir William","artist",1874,"Parting at Morning","1891","Chalk, pastel and bronze paint on paper","Bequeathed by Sir John Rothenstein 1992, accessioned 1997","1891",1997,"support: 1295 x 508 mm","1295","508",NA,"mm","","© The estate of Sir William Rothenstein. All Rights Reserved 2010 / Bridgeman Art Library","http://www.tate.org.uk/art/images/work/T/T07/T07283_8.jpg","http://www.tate.org.uk/art/artworks/rothenstein-parting-at-morning-t07283"
"55592",120233,"P80269","Shore, Stephen","artist",5337,"4-Part Variation","1969","32 photographs, gelatin silver print on paper","Purchased with funds provided by the Photography Acquisitions Committee 2012","1969",2013,"image, each: 120 x 180 mm","","",NA,"","","","","http://www.tate.org.uk/art/artworks/shore-4-part-variation-p80269"
"62788",26040,"T07377","Bacon, Francis","artist",682,"Blue Crawling Figure, No. 2","c.1957–61","Oil paint on paper","Purchased with assistance from the National Lottery through the Heritage Lottery Fund, the Art Fund and a group of anonymous donors in memory of Mario Tazzoli 1998","1957",1998,"support: 340 x 270 mm","340","270",NA,"mm","","© Estate of Francis Bacon. All Rights Reserved, DACS 2014","http://www.tate.org.uk/art/images/work/T/T07/T07377_8.jpg","http://www.tate.org.uk/art/artworks/bacon-blue-crawling-figure-no-2-t07377"
"42056",13479,"N03204","Smetham, James","artist",502,"The Eve of St Agnes","1858","Ink and watercolour on paper","Bequeathed by W.C. Alexander 1917","1858",1917,"support: 83 x 102 mm","83","102",NA,"mm","","","http://www.tate.org.uk/art/images/work/N/N03/N03204_8.jpg","http://www.tate.org.uk/art/artworks/smetham-the-eve-of-st-agnes-n03204"
"11515",36066,"D08679","Turner, Joseph Mallord William","artist",558,"Inscription by Turner: Draft of Poetry","1811","Pen and ink and graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1811",1856,"support: 75 x 117 mm","75","117",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D08/D08679_8.jpg","http://www.tate.org.uk/art/artworks/turner-inscription-by-turner-draft-of-poetry-d08679"
"43602",13407,"N05314","Sickert, Walter Richard","artist",1941,"Interior of St Mark’s, Venice","1895–6","Oil paint on canvas","Purchased 1941","1895",1941,"support: 698 x 492 mm frame: 887 x 678 x 70 mm","698","492",NA,"mm","","","http://www.tate.org.uk/art/images/work/N/N05/N05314_8.jpg","http://www.tate.org.uk/art/artworks/sickert-interior-of-st-marks-venice-n05314"
"3124",27630,"D00214","Turner, Joseph Mallord William","artist",558,"Blank","1794","","Accepted by the nation as part of the Turner Bequest 1856","1794",1856,"support: 113 x 185 mm","113","185",NA,"mm","","","","http://www.tate.org.uk/art/artworks/turner-blank-d00214"
"21327",45896,"D18543","Turner, Joseph Mallord William","artist",558,"Bows, and Rigging of a Vessel at Greenwich","1821","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1821",1856,"support: 113 x 189 mm","113","189",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D18/D18543_8.jpg","http://www.tate.org.uk/art/artworks/turner-bows-and-rigging-of-a-vessel-at-greenwich-d18543"
"46988",6802,"P04336","House, Gordon","artist",1312,"Series 40cm B","1965","Screenprint on paper","Presented by Rose and Chris Prater through the Institute of Contemporary Prints 1975","1965",1975,"image: 406 x 406 mm","406","406",NA,"mm","date inscribed","© Gordon House","http://www.tate.org.uk/art/images/work/P/P04/P04336_8.jpg","http://www.tate.org.uk/art/artworks/house-series-40cm-b-p04336"
"64386",24450,"T09020","Hoare, Prince","artist",2559,"[title not known]","date not known","Graphite and chalk on paper","Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996","",1997,"support: 368 x 233 mm","368","233",NA,"mm","","","http://www.tate.org.uk/art/images/work/T/T09/T09020_8.jpg","http://www.tate.org.uk/art/artworks/hoare-title-not-known-t09020"
"45640",2389,"P02289","Cohen, Harold","artist",925,"[no title]","1968","Lithograph on paper","Presented by the artist 1976","1968",1976,"image: 440 x 347 mm","440","347",NA,"mm","date inscribed","© Harold Cohen","http://www.tate.org.uk/art/images/work/P/P02/P02289_8.jpg","http://www.tate.org.uk/art/artworks/cohen-no-title-p02289"
"58478",13708,"T03037","Spencer, Sir Stanley","artist",1977,"Drawing for Centre Panel of ‘Resurrection: Rejoicing’","date not known","Graphite on paper","Purchased 1980","",1980,"support: 403 x 267 mm","403","267",NA,"mm","","© Estate of Stanley Spencer","http://www.tate.org.uk/art/images/work/T/T03/T03037_8.jpg","http://www.tate.org.uk/art/artworks/spencer-drawing-for-centre-panel-of-resurrection-rejoicing-t03037"
"4918",29445,"D02042","Turner, Joseph Mallord William","artist",558,"[blank]","1799–1800","","Accepted by the nation as part of the Turner Bequest 1856","1799",1856,"support: 131 x 78 mm","131","78",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D02/D02042_8.jpg","http://www.tate.org.uk/art/artworks/turner-blank-d02042"
"36358",61001,"D33831","Turner, Joseph Mallord William","artist",558,"?On a Quay","c.1830–41","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1830",1856,"support: 139 x 189 mm","139","189",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D33/D33831_8.jpg","http://www.tate.org.uk/art/artworks/turner-on-a-quay-d33831"
"51546",80146,"P12204","Motherwell, Robert","artist",1673,"Mediterranean, State I White","1975","Lithograph and screenprint on paper","Presented by Tyler Graphics Ltd in honour of Pat Gilmour, Tate Print Department 1974-7, 2004","1975",2004,"image: 722 x 509 mm","722","509",NA,"mm","","","","http://www.tate.org.uk/art/artworks/motherwell-mediterranean-state-i-white-p12204"
"50111",5255,"P08085","Gill, Eric","artist",1168,"Christmas Card: Madonna & Child","1922","Wood engraving on paper","Transferred from the Library 1979","1922",1979,"image: 89 x 63 mm","89","63",NA,"mm","","","http://www.tate.org.uk/art/images/work/P/P08/P08085_8.jpg","http://www.tate.org.uk/art/artworks/gill-christmas-card-madonna-child-p08085"
"53155",20996,"P77647","McKeever, Ian","artist",2335,"[no title]","1993","Woodcut on paper","Purchased 1994","1993",1994,"image: 505 x 762 mm","505","762",NA,"mm","","© Ian McKeever","http://www.tate.org.uk/art/images/work/P/P77/P77647_8.jpg","http://www.tate.org.uk/art/artworks/mckeever-no-title-p77647"
"56671",13264,"T01096","Scott, William","artist",1916,"Seated Nude","1939","Oil paint on canvas","Presented by Mr and Mrs Eugene Rosenberg through the Friends of the Tate Gallery 1968","1939",1968,"support: 507 x 400 mm frame: 643 x 548 x 98 mm","507","400",NA,"mm","date inscribed","© The estate of William Scott","http://www.tate.org.uk/art/images/work/T/T01/T01096_8.jpg","http://www.tate.org.uk/art/artworks/scott-seated-nude-t01096"
